input_id	tool	organism	id_system	n_pathways_returned	seconds	status
census_scrna__9dbab10c_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__9dbab10c_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.4	ok
census_scrna__9f222629_pseudobulk	fgsea	human	symbol	50	1.55	ok
census_scrna__9f222629_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__9f222629_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__9f222629_wilcoxon	fgsea	human	symbol	50	1.48	ok
census_scrna__9f222629_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__9f222629_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__a19d1667_pseudobulk	fgsea	human	symbol	50	1.34	ok
census_scrna__a19d1667_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__a19d1667_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__a19d1667_wilcoxon	fgsea	human	symbol	50	1.4	ok
census_scrna__a19d1667_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__a19d1667_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__a48343a2_pseudobulk	fgsea	mouse	symbol	50	1.46	ok
census_scrna__a48343a2_pseudobulk	gseapy_enrichr	mouse	symbol	50	0.01	ok
census_scrna__a48343a2_pseudobulk	clusterProfiler_ORA	mouse	symbol	50	2.39	ok
census_scrna__a48343a2_wilcoxon	fgsea	mouse	symbol	50	1.37	ok
census_scrna__a48343a2_wilcoxon	gseapy_enrichr	mouse	symbol	50	0.01	ok
census_scrna__a48343a2_wilcoxon	clusterProfiler_ORA	mouse	symbol	50	2.38	ok
census_scrna__b2dd6bc9_pseudobulk	fgsea	human	symbol	0	0.84	ok
census_scrna__b2dd6bc9_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__b2dd6bc9_pseudobulk	clusterProfiler_ORA	human	symbol	0	2.37	ok
census_scrna__b2dd6bc9_wilcoxon	fgsea	human	symbol	0	0.84	ok
census_scrna__b2dd6bc9_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__b2dd6bc9_wilcoxon	clusterProfiler_ORA	human	symbol	0	2.39	ok
census_scrna__b617ee1b_pseudobulk	fgsea	human	symbol	50	1.35	ok
census_scrna__b617ee1b_pseudobulk	gseapy_enrichr	human	symbol	33	0.01	ok
census_scrna__b617ee1b_pseudobulk	clusterProfiler_ORA	human	symbol	33	2.38	ok
census_scrna__b617ee1b_wilcoxon	fgsea	human	symbol	50	1.45	ok
census_scrna__b617ee1b_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__b617ee1b_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.4	ok
census_scrna__b6f472f1_pseudobulk	fgsea	mouse	symbol	50	1.34	ok
census_scrna__b6f472f1_pseudobulk	gseapy_enrichr	mouse	symbol	50	0.01	ok
census_scrna__b6f472f1_pseudobulk	clusterProfiler_ORA	mouse	symbol	50	2.39	ok
census_scrna__b6f472f1_wilcoxon	fgsea	mouse	symbol	50	1.34	ok
census_scrna__b6f472f1_wilcoxon	gseapy_enrichr	mouse	symbol	50	0.01	ok
census_scrna__b6f472f1_wilcoxon	clusterProfiler_ORA	mouse	symbol	50	2.38	ok
census_scrna__c2876b1b_pseudobulk	fgsea	human	symbol	50	1.38	ok
census_scrna__c2876b1b_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__c2876b1b_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__c2876b1b_wilcoxon	fgsea	human	symbol	50	1.34	ok
census_scrna__c2876b1b_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__c2876b1b_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__c7775e88_pseudobulk	fgsea	human	symbol	50	1.46	ok
census_scrna__c7775e88_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__c7775e88_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__c7775e88_wilcoxon	fgsea	human	symbol	50	1.41	ok
census_scrna__c7775e88_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__c7775e88_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__d3cb449b_wilcoxon	fgsea	human	symbol	50	1.35	ok
census_scrna__d3cb449b_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__d3cb449b_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__d9f3a82c_pseudobulk	fgsea	human	symbol	50	1.51	ok
census_scrna__d9f3a82c_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__d9f3a82c_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__d9f3a82c_wilcoxon	fgsea	human	symbol	50	1.36	ok
census_scrna__d9f3a82c_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__d9f3a82c_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__ebc2e1ff_wilcoxon	fgsea	human	symbol	50	1.37	ok
census_scrna__ebc2e1ff_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__ebc2e1ff_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__f14bc322_wilcoxon	fgsea	human	symbol	50	1.42	ok
census_scrna__f14bc322_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__f14bc322_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	fgsea	human	ensembl	50	1.44	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.71	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	fgsea	human	ensembl	50	1.49	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	clusterProfiler_ORA	human	ensembl	50	2.71	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	fgsea	human	ensembl	50	1.48	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	clusterProfiler_ORA	human	ensembl	50	2.71	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	fgsea	human	ensembl	50	1.68	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.45	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	fgsea	human	ensembl	50	1.77	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	clusterProfiler_ORA	human	ensembl	50	2.46	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	fgsea	human	ensembl	50	2.01	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	clusterProfiler_ORA	human	ensembl	50	2.46	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	fgsea	human	ensembl	50	1.53	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.7	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	fgsea	human	ensembl	50	1.6	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	clusterProfiler_ORA	human	ensembl	50	2.71	ok
