input_id	comparison_id	input_category	tool_a	tool_b	top_10_jaccard	top_25_jaccard	fdr05_overlap_jaccard	fdr01_overlap_jaccard	spearman_full_rank	pearson_neglog10padj	direction_agreement
census_scrna__b617ee1b_pseudobulk	b617ee1b	census_scrna	fgsea	gseapy_enrichr	0.05263157894736842	0.5625					0.3333333333333333
census_scrna__b617ee1b_pseudobulk	b617ee1b	census_scrna	fgsea	clusterProfiler_ORA	0.17647058823529413	0.42857142857142855			0.16127724650345646	0.18161163955444048	0.6060606060606061
census_scrna__b617ee1b_pseudobulk	b617ee1b	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.1111111111111111	0.6129032258064516					0.7272727272727273
census_scrna__b617ee1b_wilcoxon	b617ee1b	census_scrna	fgsea	gseapy_enrichr	0.42857142857142855	0.47058823529411764	0.09090909090909091	0.16666666666666666	0.4884804196655653	0.728234528452876	0.46
census_scrna__b617ee1b_wilcoxon	b617ee1b	census_scrna	fgsea	clusterProfiler_ORA	0.42857142857142855	0.47058823529411764	0.18181818181818182	0.16666666666666666	0.4894419852749102	0.7364638703585213	0.5
census_scrna__b617ee1b_wilcoxon	b617ee1b	census_scrna	gseapy_enrichr	clusterProfiler_ORA	1.0	0.7241379310344828	0.5	1.0	0.999880634427829	0.9975274319229593	0.96
census_scrna__b6f472f1_pseudobulk	b6f472f1	census_scrna	fgsea	gseapy_enrichr	0.3333333333333333	0.5151515151515151	0.0	0.0	0.5976337899956637		0.6451612903225806
census_scrna__b6f472f1_pseudobulk	b6f472f1	census_scrna	fgsea	clusterProfiler_ORA	0.3333333333333333	0.5151515151515151	0.0	0.0	0.3206436638778725		0.41935483870967744
census_scrna__b6f472f1_pseudobulk	b6f472f1	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.25	0.42857142857142855	1.0	0.0	0.39548293104255455	0.9717330384194056	0.8
census_scrna__b6f472f1_wilcoxon	b6f472f1	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.6666666666666666	0.0				0.7674418604651163
census_scrna__b6f472f1_wilcoxon	b6f472f1	census_scrna	fgsea	clusterProfiler_ORA	0.05263157894736842	0.3888888888888889	0.0				0.5116279069767442
census_scrna__b6f472f1_wilcoxon	b6f472f1	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.05263157894736842	0.3157894736842105					0.72
census_scrna__c2876b1b_pseudobulk	c2876b1b	census_scrna	fgsea	gseapy_enrichr	0.25	0.42857142857142855	0.0	0.0	0.339884620190941	0.9276678568983907	0.42
census_scrna__c2876b1b_pseudobulk	c2876b1b	census_scrna	fgsea	clusterProfiler_ORA	0.1111111111111111	0.42857142857142855	0.16666666666666666	0.0	0.16166972110921088	0.8975639860335356	0.46
census_scrna__c2876b1b_pseudobulk	c2876b1b	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.17647058823529413	0.3157894736842105	0.0		0.7216815745263598	0.9607563204643517	0.96
census_scrna__c2876b1b_wilcoxon	c2876b1b	census_scrna	fgsea	gseapy_enrichr	0.25	0.6666666666666666	0.0	0.0	0.21979851393920832	0.16506516854751302	0.5
census_scrna__c2876b1b_wilcoxon	c2876b1b	census_scrna	fgsea	clusterProfiler_ORA	0.1111111111111111	0.28205128205128205	0.0	0.0	0.22265913544802352	0.1666443306653726	0.5
census_scrna__c2876b1b_wilcoxon	c2876b1b	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.5384615384615384	0.35135135135135137	1.0	1.0	0.9999246278499023	0.9999069560834097	1.0
census_scrna__c7775e88_pseudobulk	c7775e88	census_scrna	fgsea	gseapy_enrichr	0.3333333333333333	0.5625	0.35	0.375	0.5322888012510254	0.965585286003606	0.88
census_scrna__c7775e88_pseudobulk	c7775e88	census_scrna	fgsea	clusterProfiler_ORA	0.3333333333333333	0.5625	0.3076923076923077	0.75	0.37612591564280823	0.9715072214409405	0.5
census_scrna__c7775e88_pseudobulk	c7775e88	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.6666666666666666	0.8518518518518519	0.2857142857142857	0.42857142857142855	0.8142526757878246	0.9896693225318441	0.62
census_scrna__c7775e88_wilcoxon	c7775e88	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.5151515151515151	0.0	0.0	0.2545033863051998	0.019547116018934513	0.52
