input_id	database	organism	id_system	n_pathways_returned	seconds	status
census_scrna__16023185_wilcoxon	c2_reactome	human	symbol	1546	1.97	ok
census_scrna__16023185_wilcoxon	c2_wikipathways	human	symbol	814	1.58	ok
census_scrna__16023185_wilcoxon	c5_go_bp	human	symbol	5589	3.58	ok
census_scrna__19053a82_pseudobulk	hallmark	human	symbol	50	1.37	ok
census_scrna__19053a82_pseudobulk	c2_kegg	human	symbol	165	1.35	ok
census_scrna__19053a82_pseudobulk	c2_reactome	human	symbol	1191	1.74	ok
census_scrna__19053a82_pseudobulk	c2_wikipathways	human	symbol	630	1.47	ok
census_scrna__19053a82_pseudobulk	c5_go_bp	human	symbol	4050	2.97	ok
census_scrna__19053a82_wilcoxon	hallmark	human	symbol	50	1.37	ok
census_scrna__19053a82_wilcoxon	c2_kegg	human	symbol	183	1.41	ok
census_scrna__19053a82_wilcoxon	c2_reactome	human	symbol	1528	1.85	ok
census_scrna__19053a82_wilcoxon	c2_wikipathways	human	symbol	809	1.56	ok
census_scrna__19053a82_wilcoxon	c5_go_bp	human	symbol	5506	3.28	ok
census_scrna__218acb0f_pseudobulk	hallmark	human	symbol	49	1.45	ok
census_scrna__218acb0f_pseudobulk	c2_kegg	human	symbol	157	1.4	ok
census_scrna__218acb0f_pseudobulk	c2_reactome	human	symbol	1178	2.01	ok
census_scrna__218acb0f_pseudobulk	c2_wikipathways	human	symbol	629	1.53	ok
census_scrna__218acb0f_pseudobulk	c5_go_bp	human	symbol	4078	3.46	ok
census_scrna__218acb0f_wilcoxon	hallmark	human	symbol	50	1.41	ok
census_scrna__218acb0f_wilcoxon	c2_kegg	human	symbol	179	1.37	ok
census_scrna__218acb0f_wilcoxon	c2_reactome	human	symbol	1487	1.83	ok
census_scrna__218acb0f_wilcoxon	c2_wikipathways	human	symbol	791	1.57	ok
census_scrna__218acb0f_wilcoxon	c5_go_bp	human	symbol	5392	3.29	ok
census_scrna__37a17b78_pseudobulk	hallmark	human	symbol	50	1.3	ok
census_scrna__37a17b78_pseudobulk	c2_kegg	human	symbol	154	1.33	ok
census_scrna__37a17b78_pseudobulk	c2_reactome	human	symbol	1238	1.7	ok
census_scrna__37a17b78_pseudobulk	c2_wikipathways	human	symbol	637	1.45	ok
census_scrna__37a17b78_pseudobulk	c5_go_bp	human	symbol	4265	3.07	ok
census_scrna__37a17b78_wilcoxon	hallmark	human	symbol	50	1.34	ok
census_scrna__37a17b78_wilcoxon	c2_kegg	human	symbol	173	1.36	ok
census_scrna__37a17b78_wilcoxon	c2_reactome	human	symbol	1422	1.71	ok
census_scrna__37a17b78_wilcoxon	c2_wikipathways	human	symbol	741	1.51	ok
census_scrna__37a17b78_wilcoxon	c5_go_bp	human	symbol	5163	3.04	ok
census_scrna__49e4ffcc_pseudobulk	hallmark	human	symbol	0	0.84	ok
census_scrna__49e4ffcc_pseudobulk	c2_kegg	human	symbol	0	0.84	ok
census_scrna__49e4ffcc_pseudobulk	c2_reactome	human	symbol	0	0.96	ok
census_scrna__49e4ffcc_pseudobulk	c2_wikipathways	human	symbol	0	0.89	ok
census_scrna__49e4ffcc_pseudobulk	c5_go_bp	human	symbol	0	1.96	ok
census_scrna__49e4ffcc_wilcoxon	hallmark	human	symbol	0	0.84	ok
census_scrna__49e4ffcc_wilcoxon	c2_kegg	human	symbol	0	0.85	ok
census_scrna__49e4ffcc_wilcoxon	c2_reactome	human	symbol	0	0.97	ok
census_scrna__49e4ffcc_wilcoxon	c2_wikipathways	human	symbol	0	0.89	ok
census_scrna__49e4ffcc_wilcoxon	c5_go_bp	human	symbol	0	1.93	ok
census_scrna__4a5b00e0_pseudobulk	hallmark	human	symbol	50	1.45	ok
census_scrna__4a5b00e0_pseudobulk	c2_kegg	human	symbol	181	1.37	ok
census_scrna__4a5b00e0_pseudobulk	c2_reactome	human	symbol	1477	1.88	ok
census_scrna__4a5b00e0_pseudobulk	c2_wikipathways	human	symbol	782	1.58	ok
census_scrna__4a5b00e0_pseudobulk	c5_go_bp	human	symbol	5376	3.35	ok
census_scrna__4a5b00e0_wilcoxon	hallmark	human	symbol	50	1.36	ok
census_scrna__4a5b00e0_wilcoxon	c2_kegg	human	symbol	181	1.4	ok
census_scrna__4a5b00e0_wilcoxon	c2_reactome	human	symbol	1477	1.89	ok
census_scrna__4a5b00e0_wilcoxon	c2_wikipathways	human	symbol	782	1.57	ok
census_scrna__4a5b00e0_wilcoxon	c5_go_bp	human	symbol	5376	3.33	ok
census_scrna__5c97eeeb_pseudobulk	hallmark	human	symbol	50	1.39	ok
census_scrna__5c97eeeb_pseudobulk	c2_kegg	human	symbol	172	1.38	ok
census_scrna__5c97eeeb_pseudobulk	c2_reactome	human	symbol	1426	1.96	ok
census_scrna__5c97eeeb_pseudobulk	c2_wikipathways	human	symbol	738	1.53	ok
census_scrna__5c97eeeb_pseudobulk	c5_go_bp	human	symbol	5145	3.29	ok
census_scrna__5c97eeeb_wilcoxon	hallmark	human	symbol	50	1.34	ok
census_scrna__5c97eeeb_wilcoxon	c2_kegg	human	symbol	172	1.37	ok
census_scrna__5c97eeeb_wilcoxon	c2_reactome	human	symbol	1426	1.73	ok
census_scrna__5c97eeeb_wilcoxon	c2_wikipathways	human	symbol	738	1.5	ok
census_scrna__5c97eeeb_wilcoxon	c5_go_bp	human	symbol	5145	3.09	ok
census_scrna__5d6d404a_wilcoxon	hallmark	human	symbol	0	0.85	ok
census_scrna__5d6d404a_wilcoxon	c2_kegg	human	symbol	0	0.86	ok
census_scrna__5d6d404a_wilcoxon	c2_reactome	human	symbol	0	0.98	ok
census_scrna__5d6d404a_wilcoxon	c2_wikipathways	human	symbol	0	0.89	ok
census_scrna__5d6d404a_wilcoxon	c5_go_bp	human	symbol	0	1.94	ok
census_scrna__5e57cd50_pseudobulk	hallmark	human	symbol	50	1.35	ok
census_scrna__5e57cd50_pseudobulk	c2_kegg	human	symbol	172	1.36	ok
census_scrna__5e57cd50_pseudobulk	c2_reactome	human	symbol	1425	1.79	ok
census_scrna__5e57cd50_pseudobulk	c2_wikipathways	human	symbol	742	1.54	ok
census_scrna__5e57cd50_pseudobulk	c5_go_bp	human	symbol	5174	3.12	ok
census_scrna__5e57cd50_wilcoxon	hallmark	human	symbol	50	1.33	ok
census_scrna__5e57cd50_wilcoxon	c2_kegg	human	symbol	172	1.38	ok
census_scrna__5e57cd50_wilcoxon	c2_reactome	human	symbol	1425	1.72	ok
census_scrna__5e57cd50_wilcoxon	c2_wikipathways	human	symbol	742	1.52	ok
census_scrna__5e57cd50_wilcoxon	c5_go_bp	human	symbol	5174	3.22	ok
census_scrna__67b6b9ac_pseudobulk	hallmark	human	symbol	50	1.45	ok
census_scrna__67b6b9ac_pseudobulk	c2_kegg	human	symbol	178	1.64	ok
census_scrna__67b6b9ac_pseudobulk	c2_reactome	human	symbol	1433	2.69	ok
census_scrna__67b6b9ac_pseudobulk	c2_wikipathways	human	symbol	762	1.77	ok
census_scrna__67b6b9ac_pseudobulk	c5_go_bp	human	symbol	5178	3.77	ok
census_scrna__67b6b9ac_wilcoxon	hallmark	human	symbol	50	1.36	ok
census_scrna__67b6b9ac_wilcoxon	c2_kegg	human	symbol	179	1.44	ok
census_scrna__67b6b9ac_wilcoxon	c2_reactome	human	symbol	1480	2.13	ok
census_scrna__67b6b9ac_wilcoxon	c2_wikipathways	human	symbol	784	1.6	ok
census_scrna__67b6b9ac_wilcoxon	c5_go_bp	human	symbol	5408	3.26	ok
census_scrna__6a270451_pseudobulk	hallmark	human	symbol	50	1.4	ok
census_scrna__6a270451_pseudobulk	c2_kegg	human	symbol	176	1.37	ok
census_scrna__6a270451_pseudobulk	c2_reactome	human	symbol	1409	1.81	ok
census_scrna__6a270451_pseudobulk	c2_wikipathways	human	symbol	760	1.54	ok
census_scrna__6a270451_pseudobulk	c5_go_bp	human	symbol	5061	3.42	ok
census_scrna__6a270451_wilcoxon	hallmark	human	symbol	50	1.36	ok
