input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
tcga_cancer__PRAD_edgeR	tcga_cancer	c5_go_bp	6979	938	498	0.1344	1.72654364420442
tcga_cancer__PRAD_limma	tcga_cancer	hallmark	50	28	21	0.56	1.72297104724561
tcga_cancer__PRAD_limma	tcga_cancer	c2_kegg	186	50	25	0.2688	1.642891624299835
tcga_cancer__PRAD_limma	tcga_cancer	c2_reactome	1765	324	195	0.1836	1.7494089311839351
tcga_cancer__PRAD_limma	tcga_cancer	c2_wikipathways	911	149	67	0.1636	1.69771252076623
tcga_cancer__PRAD_limma	tcga_cancer	c5_go_bp	6979	1120	560	0.1605	1.661670460472855
tcga_cancer__READ_DESeq2	tcga_cancer	hallmark	50	18	15	0.36	1.7947195103378801
tcga_cancer__READ_DESeq2	tcga_cancer	c2_kegg	186	58	35	0.3118	1.7023023538992899
tcga_cancer__READ_DESeq2	tcga_cancer	c2_reactome	1770	237	136	0.1339	1.77885421047256
tcga_cancer__READ_DESeq2	tcga_cancer	c2_wikipathways	913	94	37	0.103	1.7537416073466798
tcga_cancer__READ_DESeq2	tcga_cancer	c5_go_bp	6964	694	378	0.0997	1.737935774915655
tcga_cancer__READ_edgeR	tcga_cancer	hallmark	50	22	14	0.44	1.6397182028246702
tcga_cancer__READ_edgeR	tcga_cancer	c2_kegg	186	63	44	0.3387	1.68159471391163
tcga_cancer__READ_edgeR	tcga_cancer	c2_reactome	1770	291	173	0.1644	1.81073913785071
tcga_cancer__READ_edgeR	tcga_cancer	c2_wikipathways	913	83	47	0.0909	1.74497018474887
tcga_cancer__READ_edgeR	tcga_cancer	c5_go_bp	6964	712	401	0.1022	1.72487929633958
tcga_cancer__READ_limma	tcga_cancer	hallmark	50	17	15	0.34	1.53753954530618
tcga_cancer__READ_limma	tcga_cancer	c2_kegg	186	71	55	0.3817	1.64320382103857
tcga_cancer__READ_limma	tcga_cancer	c2_reactome	1770	358	243	0.2023	1.816243718366675
tcga_cancer__READ_limma	tcga_cancer	c2_wikipathways	913	75	48	0.0821	1.732161141786
tcga_cancer__READ_limma	tcga_cancer	c5_go_bp	6964	882	481	0.1267	1.6370707931397601
tcga_cancer__STAD_DESeq2	tcga_cancer	hallmark	50	30	29	0.6	1.786854386952105
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_kegg	186	65	36	0.3495	1.75017457653757
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_reactome	1782	335	201	0.188	1.791658028301
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_wikipathways	922	121	63	0.1312	1.80716853334065
tcga_cancer__STAD_DESeq2	tcga_cancer	c5_go_bp	7072	738	418	0.1044	1.755612929475915
tcga_cancer__STAD_edgeR	tcga_cancer	hallmark	50	31	28	0.62	1.79055811344432
tcga_cancer__STAD_edgeR	tcga_cancer	c2_kegg	186	63	45	0.3387	1.74274164577695
tcga_cancer__STAD_edgeR	tcga_cancer	c2_reactome	1782	353	221	0.1981	1.79955635196315
tcga_cancer__STAD_edgeR	tcga_cancer	c2_wikipathways	922	130	62	0.141	1.772422444994135
tcga_cancer__STAD_edgeR	tcga_cancer	c5_go_bp	7072	706	422	0.0998	1.80849006130446
tcga_cancer__STAD_limma	tcga_cancer	hallmark	50	32	25	0.64	1.78527367630551
