input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3631	0		1640	402	2804	1566
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.4778	0		539	1936	2804	4201
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2902	0		269	2904	1566	4201
tcga_cancer__ESCA_limma	tcga_cancer	hallmark	c2_kegg	0.2358	0		892	602	1353	1063
tcga_cancer__ESCA_limma	tcga_cancer	hallmark	c2_reactome	0.2741	0		454	1927	1353	2826
tcga_cancer__ESCA_limma	tcga_cancer	hallmark	c2_wikipathways	0.2684	0		644	1289	1353	1998
tcga_cancer__ESCA_limma	tcga_cancer	hallmark	c5_go_bp	0.2394	0		245	3276	1353	4384
tcga_cancer__ESCA_limma	tcga_cancer	c2_kegg	c2_reactome	0.2946	0		178	1941	1063	2826
tcga_cancer__ESCA_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3402	0		286	1221	1063	1998
tcga_cancer__ESCA_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2153	0		98	3419	1063	4384
tcga_cancer__ESCA_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.4118	0		1419	591	2826	1998
tcga_cancer__ESCA_limma	tcga_cancer	c2_reactome	c5_go_bp	0.49	0		455	2013	2826	4384
tcga_cancer__ESCA_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.345	0		361	2747	1998	4384
tcga_cancer__HNSC_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2076	0		824	485	1167	828
tcga_cancer__HNSC_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2333	0		540	1520	1167	2147
tcga_cancer__HNSC_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2607	0		667	751	1167	1251
tcga_cancer__HNSC_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.237	0		331	2361	1167	3197
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2774	0		182	1501	828	2147
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.35	0		289	712	828	1251
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1901	0		185	2554	828	3197
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3447	0		1276	380	2147	1251
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.3731	0		695	1745	2147	3197
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2793	0		280	2226	1251	3197
tcga_cancer__HNSC_edgeR	tcga_cancer	hallmark	c2_kegg	0.2245	0		882	569	1302	989
tcga_cancer__HNSC_edgeR	tcga_cancer	hallmark	c2_reactome	0.2396	0		602	1619	1302	2319
tcga_cancer__HNSC_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.264	0		745	808	1302	1365
tcga_cancer__HNSC_edgeR	tcga_cancer	hallmark	c5_go_bp	0.2296	0		375	2736	1302	3663
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2902	0		245	1575	989	2319
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3774	0		344	720	989	1365
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.2105	0		180	2854	989	3663
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3624	0		1339	385	2319	1365
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3895	0		642	1986	2319	3663
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2713	0		292	2590	1365	3663
tcga_cancer__HNSC_limma	tcga_cancer	hallmark	c2_kegg	0.2407	0		834	535	1268	969
