pathway_id	pathway_name	gene_entrez
R-MMU-1266738	Mus musculus: Developmental Biology	22612
R-MMU-1266738	Mus musculus: Developmental Biology	226414
R-MMU-1266738	Mus musculus: Developmental Biology	226548
R-MMU-1266738	Mus musculus: Developmental Biology	227377
R-MMU-1266738	Mus musculus: Developmental Biology	227613
R-MMU-1266738	Mus musculus: Developmental Biology	227937
R-MMU-1266738	Mus musculus: Developmental Biology	230735
R-MMU-1266738	Mus musculus: Developmental Biology	231872
R-MMU-1266738	Mus musculus: Developmental Biology	232906
R-MMU-1266738	Mus musculus: Developmental Biology	232910
R-MMU-1266738	Mus musculus: Developmental Biology	235611
R-MMU-1266738	Mus musculus: Developmental Biology	23792
R-MMU-1266738	Mus musculus: Developmental Biology	237934
R-MMU-1266738	Mus musculus: Developmental Biology	23797
R-MMU-1266738	Mus musculus: Developmental Biology	238463
R-MMU-1266738	Mus musculus: Developmental Biology	23939
R-MMU-1266738	Mus musculus: Developmental Biology	239932
R-MMU-1266738	Mus musculus: Developmental Biology	240633
R-MMU-1266738	Mus musculus: Developmental Biology	243743
R-MMU-1266738	Mus musculus: Developmental Biology	243914
R-MMU-1266738	Mus musculus: Developmental Biology	245026
R-MMU-1266738	Mus musculus: Developmental Biology	245049
R-MMU-1266738	Mus musculus: Developmental Biology	246316
R-MMU-1266738	Mus musculus: Developmental Biology	259277
R-MMU-1266738	Mus musculus: Developmental Biology	26394
R-MMU-1266738	Mus musculus: Developmental Biology	26395
R-MMU-1266738	Mus musculus: Developmental Biology	26396
R-MMU-1266738	Mus musculus: Developmental Biology	26413
R-MMU-1266738	Mus musculus: Developmental Biology	26416
R-MMU-1266738	Mus musculus: Developmental Biology	26417
R-MMU-1266738	Mus musculus: Developmental Biology	268885
R-MMU-1266738	Mus musculus: Developmental Biology	268905
R-MMU-1266738	Mus musculus: Developmental Biology	269116
R-MMU-1266738	Mus musculus: Developmental Biology	270190
R-MMU-1266738	Mus musculus: Developmental Biology	29857
R-MMU-1266738	Mus musculus: Developmental Biology	317653
R-MMU-1266738	Mus musculus: Developmental Biology	320864
R-MMU-1266738	Mus musculus: Developmental Biology	327826
R-MMU-1266738	Mus musculus: Developmental Biology	328572
R-MMU-1266738	Mus musculus: Developmental Biology	330662
R-MMU-1266738	Mus musculus: Developmental Biology	332131
R-MMU-1266738	Mus musculus: Developmental Biology	384783
R-MMU-1266738	Mus musculus: Developmental Biology	386463
R-MMU-1266738	Mus musculus: Developmental Biology	406219
R-MMU-1266738	Mus musculus: Developmental Biology	406220
R-MMU-1266738	Mus musculus: Developmental Biology	406221
R-MMU-1266738	Mus musculus: Developmental Biology	406223
R-MMU-1266738	Mus musculus: Developmental Biology	432600
R-MMU-1266738	Mus musculus: Developmental Biology	432602
R-MMU-1266738	Mus musculus: Developmental Biology	433180
R-MMU-1266738	Mus musculus: Developmental Biology	433759
R-MMU-1266738	Mus musculus: Developmental Biology	435273
R-MMU-1266738	Mus musculus: Developmental Biology	435285
R-MMU-1266738	Mus musculus: Developmental Biology	435286
R-MMU-1266738	Mus musculus: Developmental Biology	50774
R-MMU-1266738	Mus musculus: Developmental Biology	50775
R-MMU-1266738	Mus musculus: Developmental Biology	53617
R-MMU-1266738	Mus musculus: Developmental Biology	53622
R-MMU-1266738	Mus musculus: Developmental Biology	53857
R-MMU-1266738	Mus musculus: Developmental Biology	53867
R-MMU-1266738	Mus musculus: Developmental Biology	53972
R-MMU-1266738	Mus musculus: Developmental Biology	54126
R-MMU-1266738	Mus musculus: Developmental Biology	54376
R-MMU-1266738	Mus musculus: Developmental Biology	54377
R-MMU-1266738	Mus musculus: Developmental Biology	544710
R-MMU-1266738	Mus musculus: Developmental Biology	545156
R-MMU-1266738	Mus musculus: Developmental Biology	545486
R-MMU-1266738	Mus musculus: Developmental Biology	54712
R-MMU-1266738	Mus musculus: Developmental Biology	56216
R-MMU-1266738	Mus musculus: Developmental Biology	56378
R-MMU-1266738	Mus musculus: Developmental Biology	56443
R-MMU-1266738	Mus musculus: Developmental Biology	56458
R-MMU-1266738	Mus musculus: Developmental Biology	56460
R-MMU-1266738	Mus musculus: Developmental Biology	56484
R-MMU-1266738	Mus musculus: Developmental Biology	56637
R-MMU-1266738	Mus musculus: Developmental Biology	56705
R-MMU-1266738	Mus musculus: Developmental Biology	56735
R-MMU-1266738	Mus musculus: Developmental Biology	56839
R-MMU-1266738	Mus musculus: Developmental Biology	57257
R-MMU-1266738	Mus musculus: Developmental Biology	57764
R-MMU-1266738	Mus musculus: Developmental Biology	57810
R-MMU-1266738	Mus musculus: Developmental Biology	58194
R-MMU-1266738	Mus musculus: Developmental Biology	58234
R-MMU-1266738	Mus musculus: Developmental Biology	59287
R-MMU-1266738	Mus musculus: Developmental Biology	622629
R-MMU-1266738	Mus musculus: Developmental Biology	622935
R-MMU-1266738	Mus musculus: Developmental Biology	623279
R-MMU-1266738	Mus musculus: Developmental Biology	626834
R-MMU-1266738	Mus musculus: Developmental Biology	629873
R-MMU-1266738	Mus musculus: Developmental Biology	634504
R-MMU-1266738	Mus musculus: Developmental Biology	64058
R-MMU-1266738	Mus musculus: Developmental Biology	640627
R-MMU-1266738	Mus musculus: Developmental Biology	64818
R-MMU-1266738	Mus musculus: Developmental Biology	65254
R-MMU-1266738	Mus musculus: Developmental Biology	66143
R-MMU-1266738	Mus musculus: Developmental Biology	66340
R-MMU-1266738	Mus musculus: Developmental Biology	66380
R-MMU-1266738	Mus musculus: Developmental Biology	665033
R-MMU-1266738	Mus musculus: Developmental Biology	665891
R-MMU-1266738	Mus musculus: Developmental Biology	665992
R-MMU-1266738	Mus musculus: Developmental Biology	665998
R-MMU-1266738	Mus musculus: Developmental Biology	66708
R-MMU-1266738	Mus musculus: Developmental Biology	66713
R-MMU-1266738	Mus musculus: Developmental Biology	66809
R-MMU-1266738	Mus musculus: Developmental Biology	670464
R-MMU-1266738	Mus musculus: Developmental Biology	670472
R-MMU-1266738	Mus musculus: Developmental Biology	670482
R-MMU-1266738	Mus musculus: Developmental Biology	670496
R-MMU-1266738	Mus musculus: Developmental Biology	670533
R-MMU-1266738	Mus musculus: Developmental Biology	670550
R-MMU-1266738	Mus musculus: Developmental Biology	670880
R-MMU-1266738	Mus musculus: Developmental Biology	670895
R-MMU-1266738	Mus musculus: Developmental Biology	67300
R-MMU-1266738	Mus musculus: Developmental Biology	67399
R-MMU-1266738	Mus musculus: Developmental Biology	67451
R-MMU-1266738	Mus musculus: Developmental Biology	675294
R-MMU-1266738	Mus musculus: Developmental Biology	67771
R-MMU-1266738	Mus musculus: Developmental Biology	67784
R-MMU-1266738	Mus musculus: Developmental Biology	67951
R-MMU-1266738	Mus musculus: Developmental Biology	68089
R-MMU-1266738	Mus musculus: Developmental Biology	68484
R-MMU-1266738	Mus musculus: Developmental Biology	68637
R-MMU-1266738	Mus musculus: Developmental Biology	68668
R-MMU-1266738	Mus musculus: Developmental Biology	68673
R-MMU-1266738	Mus musculus: Developmental Biology	68768
R-MMU-1266738	Mus musculus: Developmental Biology	69464
R-MMU-1266738	Mus musculus: Developmental Biology	69473
R-MMU-1266738	Mus musculus: Developmental Biology	69511
R-MMU-1266738	Mus musculus: Developmental Biology	69632
R-MMU-1266738	Mus musculus: Developmental Biology	69661
R-MMU-1266738	Mus musculus: Developmental Biology	69664
R-MMU-1266738	Mus musculus: Developmental Biology	69696
R-MMU-1266738	Mus musculus: Developmental Biology	70166
R-MMU-1266738	Mus musculus: Developmental Biology	70810
R-MMU-1266738	Mus musculus: Developmental Biology	70831
R-MMU-1266738	Mus musculus: Developmental Biology	70834
R-MMU-1266738	Mus musculus: Developmental Biology	70843
R-MMU-1266738	Mus musculus: Developmental Biology	71369
R-MMU-1266738	Mus musculus: Developmental Biology	71453
R-MMU-1266738	Mus musculus: Developmental Biology	71529
R-MMU-1266738	Mus musculus: Developmental Biology	71623
R-MMU-1266738	Mus musculus: Developmental Biology	71770
R-MMU-1266738	Mus musculus: Developmental Biology	71888
R-MMU-1266738	Mus musculus: Developmental Biology	72432
R-MMU-1266738	Mus musculus: Developmental Biology	73086
R-MMU-1266738	Mus musculus: Developmental Biology	73710
R-MMU-1266738	Mus musculus: Developmental Biology	74117
R-MMU-1266738	Mus musculus: Developmental Biology	74127
R-MMU-1266738	Mus musculus: Developmental Biology	74769
R-MMU-1266738	Mus musculus: Developmental Biology	75586
R-MMU-1266738	Mus musculus: Developmental Biology	75706
R-MMU-1266738	Mus musculus: Developmental Biology	76444
R-MMU-1266738	Mus musculus: Developmental Biology	76709
R-MMU-1266738	Mus musculus: Developmental Biology	76829
