cluster	rank	gene	score
5	36	ACTB	43.16846466064453
5	37	KLRB1	42.8991813659668
5	38	EEF1A1	42.820228576660156
5	39	S100A10	42.02507400512695
5	40	RPLP1	41.087615966796875
5	41	GZMA	40.48390197753906
5	42	ARL6IP5	40.36698532104492
5	43	IFITM2	40.101924896240234
5	44	RPS21	39.590431213378906
5	45	STK17A	39.58721923828125
5	46	RUNX3	39.36956787109375
5	47	CD99	39.167396545410156
5	48	GZMM	39.01823425292969
5	49	TMA7	38.48828125
6	0	MALAT1	49.087039947509766
6	1	MT-ATP6	45.381919860839844
6	2	MT-ND3	39.958805084228516
6	3	MT-CYB	29.116741180419922
6	4	MT-ND1	24.86076545715332
6	5	MT-CO2	23.84157371520996
6	6	PTPRC	23.661725997924805
6	7	PABPC1	21.93277359008789
6	8	MT-CO3	20.398576736450195
6	9	CD2	19.689075469970703
6	10	IL7R	19.523319244384766
6	11	DDX5	15.612557411193848
6	12	TNFAIP3	13.921524047851562
6	13	MT-ND4	13.78773021697998
6	14	MBNL1	13.473705291748047
6	15	CD3G	12.628230094909668
6	16	CD3D	12.486625671386719
6	17	RORA	12.308649063110352
6	18	HLA-A	11.396573066711426
6	19	MT-ND5	11.105603218078613
6	20	ITGA1	10.850278854370117
6	21	RNF213	9.769876480102539
6	22	BCL11B	9.705458641052246
6	23	ETS1	9.693458557128906
6	24	EVL	9.525785446166992
6	25	DDX17	9.234644889831543
6	26	FUS	8.601832389831543
6	27	MT-ND2	8.47065544128418
6	28	BTG1	8.373435974121094
6	29	SYNE2	8.316145896911621
6	30	FYB1	8.250356674194336
6	31	MT-ND4L	8.131929397583008
6	32	CELF2	8.088595390319824
6	33	SPOCK2	7.897772312164307
6	34	HNRNPA2B1	7.881440162658691
6	35	MACF1	7.599747180938721
6	36	CD8A	7.595184326171875
6	37	FYN	7.491369724273682
6	38	AAK1	7.360013008117676
6	39	RUNX3	7.204587459564209
6	40	PPP2R5C	7.047278881072998
6	41	CD96	6.888415336608887
6	42	HSP90AA1	6.728778839111328
6	43	HLA-E	6.383781433105469
6	44	ANXA1	6.374320030212402
6	45	ARL4C	6.360837936401367
6	46	CD69	6.2265167236328125
6	47	SON	6.172882080078125
6	48	N4BP2L2	6.122096061706543
6	49	ACAP1	5.935880184173584
7	0	HLA-DRA	69.62847900390625
7	1	FTL	62.498291015625
7	2	TMSB4X	60.96542739868164
7	3	HLA-DPB1	60.42387390136719
7	4	TMSB10	59.454872131347656
7	5	CST3	57.013729095458984
7	6	FTH1	56.078678131103516
7	7	SAT1	55.75870132446289
7	8	NPC2	53.86427307128906
7	9	CD74	53.069541931152344
7	10	TYROBP	50.977481842041016
7	11	MT-CO1	48.88627243041992
7	12	HLA-DRB1	47.488033294677734
7	13	HLA-DPA1	46.96814727783203
7	14	LYZ	46.61845779418945
7	15	HLA-DQA1	42.522972106933594
7	16	GPX1	40.62596893310547
7	17	RPL12	38.706382751464844
7	18	MT-ND4	36.84770202636719
7	19	SELENOP	36.06446075439453
7	20	LGALS1	35.40462112426758
7	21	FCER1G	35.31833267211914
7	22	AIF1	34.31348419189453
7	23	MS4A6A	34.14108657836914
7	24	PTMA	33.13198471069336
7	25	RPL7	32.099735260009766
