cell	mad3_outlier	mad5_outlier
64017743	FALSE	FALSE
64017745	FALSE	FALSE
64017750	FALSE	FALSE
64017754	FALSE	FALSE
64017765	FALSE	FALSE
64017769	TRUE	TRUE
64017770	TRUE	TRUE
64017771	TRUE	TRUE
64017778	FALSE	FALSE
64017814	FALSE	FALSE
64017824	TRUE	FALSE
64017825	FALSE	FALSE
64017827	TRUE	TRUE
64017828	FALSE	FALSE
64017830	FALSE	FALSE
64017836	FALSE	FALSE
64017844	FALSE	FALSE
64017873	FALSE	FALSE
64017877	TRUE	FALSE
64017897	FALSE	FALSE
64017898	FALSE	FALSE
64017903	FALSE	FALSE
64017910	TRUE	TRUE
64017916	FALSE	FALSE
64017944	FALSE	FALSE
64017962	TRUE	TRUE
64017964	TRUE	TRUE
64017968	FALSE	FALSE
64017972	FALSE	FALSE
64017981	FALSE	FALSE
64017995	FALSE	FALSE
64018004	TRUE	TRUE
64018012	FALSE	FALSE
64018014	FALSE	FALSE
64018022	FALSE	FALSE
64018045	FALSE	FALSE
64018080	FALSE	FALSE
64018087	TRUE	TRUE
64018099	FALSE	FALSE
64018111	FALSE	FALSE
64018130	FALSE	FALSE
64018135	FALSE	FALSE
64018139	FALSE	FALSE
64018141	FALSE	FALSE
64018146	TRUE	FALSE
64018147	FALSE	FALSE
64018166	TRUE	TRUE
64018176	FALSE	FALSE
64018202	TRUE	TRUE
64018206	FALSE	FALSE
64018209	FALSE	FALSE
64018219	FALSE	FALSE
64018227	FALSE	FALSE
64018243	FALSE	FALSE
64018251	FALSE	FALSE
64018261	FALSE	FALSE
64018276	FALSE	FALSE
64018277	TRUE	TRUE
64018288	FALSE	FALSE
64018289	FALSE	FALSE
64018290	FALSE	FALSE
64018295	TRUE	FALSE
64018296	FALSE	FALSE
64018298	FALSE	FALSE
64018301	FALSE	FALSE
64018307	TRUE	TRUE
64018310	FALSE	FALSE
64018312	FALSE	FALSE
64018318	FALSE	FALSE
64018321	FALSE	FALSE
64018324	FALSE	FALSE
64018327	FALSE	FALSE
64018338	TRUE	FALSE
64018340	TRUE	TRUE
64018343	TRUE	FALSE
64018350	TRUE	FALSE
64018351	TRUE	TRUE
64018354	FALSE	FALSE
64018357	FALSE	FALSE
64018359	FALSE	FALSE
64018360	FALSE	FALSE
64018363	FALSE	FALSE
64018383	TRUE	TRUE
64018384	TRUE	TRUE
64018408	TRUE	TRUE
64018414	FALSE	FALSE
64018438	FALSE	FALSE
64018445	FALSE	FALSE
64018452	FALSE	FALSE
64018457	FALSE	FALSE
64018463	FALSE	FALSE
64018484	FALSE	FALSE
64018486	FALSE	FALSE
64018488	FALSE	FALSE
64018494	TRUE	FALSE
64018496	TRUE	TRUE
64018508	TRUE	TRUE
64018511	FALSE	FALSE
64018515	FALSE	FALSE
64018523	TRUE	FALSE
64018531	FALSE	FALSE
64018542	FALSE	FALSE
64018558	TRUE	TRUE
64018565	FALSE	FALSE
64018575	FALSE	FALSE
64018577	FALSE	FALSE
64018582	TRUE	TRUE
64018589	TRUE	TRUE
64018620	FALSE	FALSE
64018623	TRUE	TRUE
64018626	FALSE	FALSE
64018632	FALSE	FALSE
64018636	TRUE	FALSE
64018643	TRUE	TRUE
64018656	TRUE	FALSE
64018662	FALSE	FALSE
64018663	FALSE	FALSE
64018670	TRUE	FALSE
