cell	n_genes_by_counts	total_counts	pct_counts_mt
105614426	1864	6664.0	2.1308522
105614481	2140	6170.0	4.0680714
105614598	1697	5306.0	2.713909
105614649	1243	3602.0	4.081066
105614800	1617	5356.0	0.9148618
105614817	1098	2679.0	5.487122
105614818	1372	4621.0	5.063839
105614978	1482	5428.0	5.7295504
105614991	1849	6980.0	3.338109
105615009	1357	3158.0	0.8866371
105615028	973	2302.0	8.688097
105615038	2405	7328.0	3.0158296
105615075	1500	4699.0	4.490317
105615375	1187	2665.0	5.5909944
105615491	1371	3971.0	4.6839585
105615597	1584	4473.0	1.8108652
105615864	1705	5562.0	1.5102482
105615875	1825	6321.0	3.7335865
105615938	1228	3548.0	8.229989
105615969	1652	5972.0	1.4567984
105616081	1752	5988.0	2.9058115
105616319	1517	4670.0	4.8608136
105616330	1336	3799.0	3.9484076
105616378	1607	5550.0	1.945946
105616392	1360	4528.0	5.7420497
105616400	1604	5440.0	2.665441
105616444	1480	4853.0	7.438698
105616483	1874	4487.0	3.7441497
105616525	2105	5395.0	3.7812788
105616598	2129	5537.0	6.1043887
105616681	1619	4494.0	3.671562
105616777	1600	4786.0	3.9490178
105616779	1681	5517.0	4.1870584
105616830	2651	7551.0	3.0591974
105616986	1577	5140.0	2.3346303
105617013	1323	4189.0	3.5330627
105617029	1877	6909.0	3.3289914
105617089	853	2214.0	1.7615176
105617112	1380	4728.0	5.71066
105617142	1603	5165.0	3.272023
105617176	1566	5419.0	3.8014393
105617192	2195	7491.0	2.9902549
105617308	1380	4177.0	2.4898252
105617321	1725	5813.0	1.8234991
105617371	1712	6303.0	3.5538633
105617395	1348	4061.0	2.4870722
105617463	1588	4881.0	4.3433723
105617492	1782	6466.0	6.108877
105617555	1317	3840.0	2.6822917
105617558	2204	8972.0	3.0762372
105617580	1392	4670.0	2.2269807
105617588	1302	3767.0	4.7252455
105617662	1286	3353.0	1.9385625
105617771	916	2033.0	3.639941
105617809	1395	3537.0	2.6010745
105617945	1365	4781.0	4.0995607
105617971	1733	6077.0	2.863255
105617973	2117	8711.0	2.858455
105618022	1265	4737.0	2.7654634
105618051	1797	6310.0	2.4564185
105618161	1831	6838.0	1.9742615
105618179	1619	6808.0	1.6451234
105618270	2166	8559.0	3.8205397
105618359	1463	4795.0	3.62878
105618382	2460	9782.0	3.6291149
105618448	1598	7359.0	0.6930289
105618495	1899	6417.0	4.550413
105618515	1848	6829.0	2.4161663
105618606	1223	2828.0	4.7029705
105618669	3370	16104.0	3.2165923
105618685	2559	8652.0	3.848821
105618688	2985	11832.0	3.0764031
105618832	2162	8916.0	4.6994166
105618838	1672	6829.0	4.1733785
105618860	1733	6413.0	2.869172
105618959	1634	5410.0	5.7486134
105618960	1749	7133.0	2.6496565
105618981	1990	5887.0	2.3441482
105619014	1958	7504.0	4.1711087
105619031	1427	4392.0	3.7795994
105619140	1714	6017.0	2.6425128
105619148	1614	5583.0	3.8330648
105619208	1117	3833.0	4.0177402
105619215	1528	5027.0	3.5806644
105619232	1490	5016.0	2.6913877
105619272	1771	5178.0	3.051371
105619303	1734	6899.0	3.97159
105619414	1655	5738.0	4.9668875
105619463	1375	4238.0	4.8607836
105619494	1955	7502.0	5.42522
105619740	2005	7683.0	4.9459844
105619751	1441	4713.0	3.225122
105619821	1901	6620.0	4.365559
105619864	1373	4191.0	3.8892865
105619988	1524	5123.0	2.7913332
105620026	1549	6394.0	4.863935
105620029	1952	7216.0	3.3813748
105620099	1266	3988.0	1.9057171
105620151	1656	5772.0	3.7768538
105620201	1475	4809.0	3.9093368
105620295	1360	5124.0	2.8298204
105620396	1614	6779.0	9.912966
105620468	1455	4900.0	1.3877552
105620507	1626	5922.0	2.516042
105620619	1579	5710.0	2.3117337
105620765	2218	8474.0	4.9917397
105620767	1323	4611.0	2.1904142
105620786	1755	5480.0	1.9160583
105620831	1539	3795.0	2.8985507
105620897	1723	4342.0	5.112851
105620900	1704	3994.0	6.209314
105620958	2493	7313.0	5.3739915
105620993	1640	4687.0	6.7420526
105621082	780	1696.0	6.132076
105621084	2210	7035.0	3.041933
105621099	2808	9390.0	3.3120341
105621101	2710	9340.0	0.6531049
105621148	2053	6170.0	3.7277148
105621211	1941	5991.0	5.040895
105621303	1997	5680.0	5.1408453
105621363	1786	5003.0	4.797122
105621458	1171	3190.0	6.9592476
105621480	1408	3629.0	4.7671533
105621485	1843	5221.0	4.4435935
105621548	2171	7077.0	3.221704
105621556	1926	6525.0	3.2950191
105621608	1844	4641.0	4.0939455
105621644	2197	8336.0	5.3742805
105621648	1572	3689.0	2.4125779
105621655	1421	3693.0	6.4175463
105621670	1880	5319.0	4.5121264
105621743	1782	6174.0	4.324587
105621766	1243	3674.0	4.3277082
105621800	1187	3307.0	3.416994
105621823	1684	5721.0	3.5308514
105621848	1466	4038.0	3.71471
105621927	1463	4606.0	4.1684756
105621970	1929	7770.0	3.5649936
105622215	1335	4067.0	2.5571675
105622245	1451	4776.0	1.926298
105622286	1271	3454.0	2.6635785
105622349	1352	4523.0	4.333407
105622362	1735	5406.0	3.8105807
105622389	1404	5480.0	1.3321167
105622418	1136	3745.0	2.2963953
105622428	1513	5623.0	3.023297
105622550	1224	3977.0	1.7601206
105622658	1401	4472.0	0.98389983
105622674	1408	5066.0	3.1780496
105622689	1237	4048.0	2.2480237
105622736	1469	4912.0	2.1376224
105622782	1075	3150.0	2.857143
105622811	1162	3833.0	2.426298
105622894	1215	3625.0	2.7586207
105622915	1146	4132.0	2.9767668
105623024	1670	6042.0	2.3502152
105623037	1465	4476.0	3.4852545
105623038	1280	4057.0	3.4508257
105623175	1609	5405.0	3.6447735
105623182	1463	5313.0	2.3338978
105623297	1197	4003.0	3.1726203
105623365	1025	3100.0	5.064516
105623507	1450	4526.0	2.2978346
105623510	1478	4458.0	2.3104532
105623558	1111	3742.0	2.5387495
105623579	1295	3970.0	3.7531488
105623597	1242	4022.0	2.734958
105623630	1407	5022.0	2.887296
105623632	1543	5317.0	1.6174535
105623699	1393	5173.0	1.7398027
105623736	1292	3710.0	1.7250674
105623746	1321	3914.0	3.1681142
105623753	1366	4144.0	3.0164094
105623795	1579	5458.0	0.84279954
105623848	1623	5588.0	3.6685753
105623924	1456	4616.0	2.4696708
105623985	1839	6883.0	3.7774227
105623992	1297	4896.0	3.7785947
105624148	1193	3895.0	2.8241334
105624170	1488	4767.0	2.6641493
105624193	1386	4752.0	3.4932659
105624220	1407	5724.0	1.7295597
105624264	1401	4384.0	2.919708
105624380	1517	4748.0	2.148273
105624384	1388	4795.0	3.5245047
105624396	1504	4925.0	3.1878173
105624404	1563	5367.0	2.3104155
105624420	1588	4394.0	2.4123805
105624473	1956	6347.0	2.6469197
105624512	1903	6653.0	2.1043139
105624558	1045	3118.0	3.5279024
105624586	1146	3137.0	1.7213898
105624603	1304	4425.0	2.3954804
105624635	1503	6218.0	2.4123511
105624764	1786	6558.0	3.9036293
105624784	1385	4749.0	3.0322173
105624887	1468	5312.0	2.6731927
105624957	1285	5256.0	2.1689496
