dataset_id	chemistry	species	tissue_class	tool_a	tool_b	n_common_genes	n_common_cells	rho_gene_total	rho_cell_total_umi	log2_median	log2_iqr	log2_p05	log2_p95	pct_A_higher	pct_B_higher	pct_tie	det_rate_A	det_rate_B	det_rate_A_intersect	det_rate_B_intersect
10x_neuron_1k_v3	3p_v3	mouse	non-PBMC	star_default	kb_count	57180	340162	0.9585139730899218	0.8914310993101208	0.0	0.01708074194188446	-0.4150374992788438	0.01962880674893263	0.058149702693249386	0.2831759356418328	0.6586743616649178	0.44454354669464846	0.455299055613851	0.44454354669464846	0.455299055613851
10x_neuron_1k_v3	3p_v3	mouse	non-PBMC	star_cr_mimic	alevin_fry	57180	103370	0.7331467007572179	0.9302672147553604	0.0	2.584962500721156	0.0	6.88181316118096	0.4310772997551591	0.005176635187128366	0.5637460650577125	0.438737320741518	0.3339162877462982	0.438737320741518	0.2216859041622945
10x_neuron_1k_v3	3p_v3	mouse	non-PBMC	star_cr_mimic	kb_count	57180	340378	0.9587339925169608	0.9266204077974356	0.0	0.0	-0.5849625007211563	0.047985741866782276	0.1136761105281567	0.22040923399790135	0.6659146554739419	0.438737320741518	0.455299055613851	0.438737320741518	0.455299055613851
10x_neuron_1k_v3	3p_v3	mouse	non-PBMC	alevin_fry	kb_count	171540	102815	0.7290266895658006	0.9430730680202531	0.0	2.584962500721156	-6.889434603397361	0.0	0.0032703742567331234	0.44856593214410634	0.5481636935991605	0.3339162877462982	0.455299055613851	0.2216859041622945	0.455299055613851
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	star_cr_mimic	63241	3092289	0.9947820991106854	0.9581988409155193	0.0	0.027744990482904318	-0.13750352374993496	0.03394733192333753	0.05912303727012539	0.36468430290476117	0.5761926598251135	0.6151072879935485	0.6190762321911418	0.6151072879935485	0.6190762321911418
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	alevin_fry	63241	507661	0.5865396797449436	0.9795271623748473	1.222392421336448	4.7713615040717094	0.0	11.806146803320525	0.6029632675005139	0.010420455084517955	0.3866162774149681	0.6151072879935485	0.4186946232138433	0.6151072879935485	0.21963599563574263
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	kb_count	63241	3060215	0.972550875201141	0.937200767453096	0.0	0.04182017569462706	-1.0	0.1926450779423958	0.12202526841764046	0.4129915719232776	0.46498315965908193	0.6151072879935485	0.6449771508989421	0.6151072879935485	0.6449771508989421
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	alevin_fry	63241	507662	0.5872518533045116	0.9791855660252837	1.3477383306601471	4.800721829725157	0.0	11.837627933171404	0.6076437753988709	0.009297765689979602	0.3830584589111494	0.6190762321911418	0.4186946232138433	0.6190762321911418	0.21963599563574263
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	kb_count	63241	3059133	0.9742427734857811	0.9678495655255782	0.0	0.006002894873946904	-1.0	0.23319917629303089	0.26855995319492104	0.2566214955487737	0.47481855125630523	0.6190762321911418	0.6449771508989421	0.6190762321911418	0.6449771508989421
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	alevin_fry	kb_count	189723	507362	0.5869777220979835	0.982206755419282	-1.5849625007211563	4.881315561225298	-11.81498293642679	0.0	0.005787384766211793	0.6358849480558498	0.35832766717793835	0.4186946232138433	0.6449771508989421	0.21963599563574263	0.6449771508989421
