dataset_id	tissue	organism	dataset_size_cells	threshold	genes_total	genes_retained	cells_retained	hvg_overlap	pct_hvg_lost	median_genes_per_cell
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	30000	10	53384	19605	30000	0.9782	1.1	2910.0
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	30000	20	53384	18404	30000	0.9569	2.2	2909.0
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	30000	50	53384	16767	30000	0.9093	4.75	2908.0
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	30000	1	53384	30927	30000	0.9656	1.75	2422.0
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	30000	3	53384	26854	30000	1.0	0.0	2422.0
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	30000	5	53384	25196	30000	0.9493	2.6	2422.0
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	30000	10	53384	23135	30000	0.9066	4.9	2421.5
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	30000	20	53384	21220	30000	0.8683	7.05	2420.0
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	30000	50	53384	18842	30000	0.8116	10.4	2419.0
a48343a2-7570-49d0-8849-9db6c21dffcb	musculature	Mus musculus	30000	1	53384	24326	30000	0.992	0.4	1808.5
a48343a2-7570-49d0-8849-9db6c21dffcb	musculature	Mus musculus	30000	3	53384	23180	30000	1.0	0.0	1808.5
a48343a2-7570-49d0-8849-9db6c21dffcb	musculature	Mus musculus	30000	5	53384	22212	30000	0.993	0.35	1808.0
a48343a2-7570-49d0-8849-9db6c21dffcb	musculature	Mus musculus	30000	10	53384	20789	30000	0.9753	1.25	1807.0
a48343a2-7570-49d0-8849-9db6c21dffcb	musculature	Mus musculus	30000	20	53384	19175	30000	0.955	2.3	1807.0
a48343a2-7570-49d0-8849-9db6c21dffcb	musculature	Mus musculus	30000	50	53384	17201	30000	0.9231	4.0	1805.0
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	30000	1	53384	20260	30000	0.9743	1.3	1480.0
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	30000	3	53384	18576	30000	1.0	0.0	1480.0
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	30000	5	53384	17729	30000	0.9841	0.8	1480.0
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	30000	10	53384	16590	30000	0.9589	2.1	1480.0
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	30000	20	53384	15410	30000	0.9002	5.25	1479.5
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	30000	50	53384	13968	30000	0.7937	11.5	1479.0
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	30000	1	53384	15941	30000	1.0	0.0	1713.0
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	30000	3	53384	15893	30000	1.0	0.0	1713.0
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	30000	5	53384	15659	30000	0.9881	0.6	1713.0
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	30000	10	53384	14719	30000	0.9286	3.7	1713.0
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	30000	20	53384	13729	30000	0.845	8.4	1713.0
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	30000	50	53384	12480	30000	0.7175	16.45	1712.0
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	30000	1	53384	19625	30000	0.9831	0.85	1244.0
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	30000	3	53384	17941	30000	1.0	0.0	1244.0
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	30000	5	53384	17227	30000	0.9822	0.9	1244.0
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	30000	10	53384	16257	30000	0.9569	2.2	1244.0
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	30000	20	53384	15309	30000	0.9175	4.3	1244.0
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	30000	50	53384	14124	30000	0.8639	7.3	1243.0
12967895-3d58-4e93-be2c-4e1bcf4388d5	reproductive system	Mus musculus	30000	1	53384	24611	30000	0.997	0.15	3438.5
12967895-3d58-4e93-be2c-4e1bcf4388d5	reproductive system	Mus musculus	30000	3	53384	23746	30000	1.0	0.0	3438.5
12967895-3d58-4e93-be2c-4e1bcf4388d5	reproductive system	Mus musculus	30000	5	53384	22994	30000	0.9891	0.55	3438.5
12967895-3d58-4e93-be2c-4e1bcf4388d5	reproductive system	Mus musculus	30000	10	53384	21884	30000	0.9812	0.95	3438.5
12967895-3d58-4e93-be2c-4e1bcf4388d5	reproductive system	Mus musculus	30000	20	53384	20553	30000	0.9617	1.95	3438.5
12967895-3d58-4e93-be2c-4e1bcf4388d5	reproductive system	Mus musculus	30000	50	53384	18673	30000	0.9039	5.05	3437.0
