dataset_id	tissue	organism	tool	cell_type	precision	recall	f1	n_cells
cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7	endocrine gland	Homo sapiens	MarkerScore	T cells	0.9879900744416873	0.9894632206759444	0.9887260988328781	10060
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	MarkerScore	Endothelial	0.6606129398410897	0.9651741293532339	0.784366576819407	603
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	MarkerScore	Fibroblasts	0.9680451127819549	0.987535953978907	0.9776934029425723	1043
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	MarkerScore	Macrophages	0.9881960482422376	0.9518042511122096	0.9696588190859876	4046
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	MarkerScore	NK cells	0.04173303599872571	0.9924242424242424	0.08009782940996638	132
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	MarkerScore	T cells	0.9940159574468085	0.6519132235909735	0.7874119428533808	9173
afae4675-434d-4e89-b5ce-2854c9dc38a3	abdomen	Homo sapiens	MarkerScore	Endothelial	0.483343428225318	0.7770204479065238	0.5959671396564601	2054
afae4675-434d-4e89-b5ce-2854c9dc38a3	abdomen	Homo sapiens	MarkerScore	Fibroblasts	0.7343368592351506	0.8359061438715653	0.7818365578977765	6478
afae4675-434d-4e89-b5ce-2854c9dc38a3	abdomen	Homo sapiens	MarkerScore	Hepatocytes	0.6376122556788167	0.8927514792899408	0.7439137134052388	1352
afae4675-434d-4e89-b5ce-2854c9dc38a3	abdomen	Homo sapiens	MarkerScore	Macrophages	0.854253112033195	0.4789182902006397	0.6137506987143656	3439
afae4675-434d-4e89-b5ce-2854c9dc38a3	abdomen	Homo sapiens	MarkerScore	NK cells	0.0	0.0	0.0	0
afae4675-434d-4e89-b5ce-2854c9dc38a3	abdomen	Homo sapiens	MarkerScore	T cells	0.9471153846153846	0.11761194029850747	0.2092405735528412	1675
4a90bbba-df97-4a28-83ae-7386fe7d9167	exocrine gland	Homo sapiens	MarkerScore	Endothelial	0.765295887662989	0.9769526248399488	0.8582677165354331	781
4a90bbba-df97-4a28-83ae-7386fe7d9167	exocrine gland	Homo sapiens	MarkerScore	Fibroblasts	0.9674054758800521	0.8688524590163934	0.9154842689697718	854
