gene	cell_type	organism	tissue	n_datasets	mean_AUC	sd_AUC	ci_lower	ci_upper	mw_pval	reliability_score
CD3D	Fibroblasts	Homo sapiens	multiple	11	0.4188	0.096	0.4153	0.4225	0.00e+00	0.3786
CD3E	Fibroblasts	Homo sapiens	multiple	11	0.4174	0.0947	0.4135	0.4215	0.00e+00	0.3779
COL1A1	NK cells	Homo sapiens	multiple	9	0.4137	0.0887	0.4089	0.4193	0.00e+00	0.377
COL1A1	T cells	Mus musculus	multiple	13	0.4206	0.1039	0.4133	0.4288	0.00e+00	0.3768
DCN	Macrophages	Mus musculus	multiple	17	0.4211	0.1079	0.4111	0.4321	0.00e+00	0.3756
GNLY	Hepatocytes	Mus musculus	multiple	4	0.4772	0.0169	0.4747	0.4797	1.07e-89	0.3753
DCN	Endothelial	Mus musculus	multiple	17	0.4198	0.1118	0.4082	0.433	0.00e+00	0.3729
COL1A2	Macrophages	Homo sapiens	multiple	10	0.4077	0.0953	0.4022	0.4133	0.00e+00	0.3688
DCN	NK cells	Homo sapiens	multiple	9	0.4014	0.087	0.3882	0.4168	0.00e+00	0.3665
COL1A2	T cells	Homo sapiens	multiple	11	0.406	0.0983	0.4003	0.4118	0.00e+00	0.3661
MARCO	Hepatocytes	Mus musculus	multiple	4	0.4687	0.0274	0.465	0.4723	3.01e-258	0.3647
DCN	T cells	Homo sapiens	multiple	11	0.4031	0.0973	0.397	0.4094	0.00e+00	0.3639
